Environmental criteria (T/F),Publication Year,Close Year,Municipality,District,Submission deadline (range),Diference between close and signing dates,Execution deadline (days),Base Bid Price Class,I. price Class,Award criteria class,Classification of the multifactor criteria (%),Published in the EU journal,Number of bidders,Signing Year,Signing Month,Signing Day,Closing Date Year,Closing Date Month,Closing Date Day,E. price Class,Difference between the effective and initial price class,engineering work,refurbishment work,surfaced work,Justification for deadline change
0,2020,2020,Lisboa,Lisboa,Medium,Few Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.375,2020,4,9,2020,12,31,Low Price,Medium Difference,0,0,0,Not Specified
0,2020,2020,Mação,Santarém,Very Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.15000000000000002,2020,3,31,2020,7,8,Low Price,Medium Difference,0,0,0,extension
0,2019,2021,Lisboa,Lisboa,Medium,Medium Days,Long Deadline,High Price,Medium Price,2,1.0,False,0.1,2020,3,12,2021,7,29,Medium Price,Low Difference,0,1,0,Not Specified
1,2019,2020,Águeda,Aveiro,Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.125,2020,4,7,2020,7,6,Low Price,High Difference,0,0,0,Not Specified
0,2020,2020,Madalena,Região Autónoma dos Açores,Very Long,Few Days,Medium Deadline,Low Price,Low Price,1,0.4,False,0.0,2020,4,22,2020,11,30,Low Price,Medium Difference,0,0,0,Not Specified
0,2019,2021,Crato,Portalegre,Short,Medium Days,Medium Deadline,High Price,Medium Price,0,0.0,False,0.17500000000000002,2020,4,20,2021,11,10,Medium Price,High Difference,0,0,0,specify
1,2019,2020,Águeda,Aveiro,Long,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.15000000000000002,2020,4,7,2020,10,16,Low Price,High Difference,0,0,0,Not Specified
0,2019,2020,Santa Maria da Feira,Aveiro,Very Long,Few Days,Short Deadline,Low Price,Low Price,1,0.8,False,0.07500000000000001,2020,4,17,2020,10,27,Low Price,Low Difference,0,0,0,extension
0,2019,2021,Amadora,Lisboa,Medium,Medium Days,Long Deadline,Low Price,Low Price,1,0.4,False,0.17500000000000002,2020,4,2,2021,4,8,Low Price,Medium Difference,1,0,0,pandemic
0,2019,2020,Vizela,Braga,Short,Medium Days,Short Deadline,High Price,Low Price,2,1.0,False,0.0,2019,3,25,2020,7,29,Low Price,Medium Difference,0,0,0,specify
0,2019,2020,Vizela,Braga,Short,Medium Days,Long Deadline,High Price,Low Price,2,1.0,False,0.0,2019,3,25,2020,3,25,Low Price,High Difference,0,0,0,specify
0,2019,2020,Vizela,Braga,Short,Medium Days,Short Deadline,High Price,Low Price,2,1.0,False,0.0,2019,3,25,2020,3,16,Low Price,Low Difference,0,0,0,specify
0,2019,2021,Santa Maria da Feira,Aveiro,Very Long,Medium Days,Medium Deadline,Medium Price,Low Price,2,1.0,False,0.17500000000000002,2020,4,17,2021,11,8,Low Price,High Difference,0,0,0,delay
0,2019,2020,Setúbal,Setúbal,Very Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.025,2020,2,28,2020,7,3,Low Price,Medium Difference,0,0,0,Not Specified
0,2019,2021,Santa Maria da Feira,Aveiro,Very Long,Medium Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.17500000000000002,2020,4,16,2021,4,9,Low Price,Low Difference,0,0,0,extension
1,2020,2020,Porto,Porto,Short,Few Days,Short Deadline,Low Price,Low Price,1,0.5,False,0.025,2020,4,15,2020,6,15,Low Price,Medium Difference,1,0,0,Not Specified
0,2020,2021,Santa Maria da Feira,Aveiro,Very Short,Medium Days,Medium Deadline,Medium Price,Low Price,0,0.0,False,0.15000000000000002,2020,4,15,2021,11,8,Low Price,High Difference,0,0,0,delay
0,2019,2021,Santa Maria da Feira,Aveiro,Very Long,Medium Days,Medium Deadline,Medium Price,Medium Price,2,1.0,False,0.15000000000000002,2020,4,14,2021,6,28,Low Price,High Difference,0,0,0,delay
0,2020,2021,Ponte de Sor,Portalegre,Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.0,2020,3,30,2021,1,29,Low Price,Medium Difference,0,0,0,specify
0,2019,2021,Olhão,Faro,Very Long,Medium Days,Medium Deadline,Medium Price,Medium Price,2,1.0,False,0.125,2020,1,8,2021,6,23,Medium Price,Medium Difference,0,0,0,delay
0,2020,2020,Póvoa de Lanhoso,Braga,Very Short,Few Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.15000000000000002,2020,4,9,2020,7,7,Low Price,Medium Difference,0,0,0,Not Specified
0,2020,2021,Cadaval,Lisboa,Very Short,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.05,2020,3,31,2021,10,29,Low Price,Low Difference,0,0,0,pandemic
0,2020,2020,Paredes,Porto,Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.30000000000000004,2020,4,3,2020,12,28,Low Price,High Difference,0,0,1,Not Specified
0,2019,2020,Setúbal,Setúbal,Very Long,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.17500000000000002,2020,3,23,2020,7,9,Low Price,Medium Difference,0,0,0,specify
0,2019,2021,Santa Maria da Feira,Aveiro,Very Long,Medium Days,Short Deadline,Low Price,Low Price,1,0.8,False,0.07500000000000001,2020,4,8,2021,6,22,Low Price,Low Difference,0,0,0,extension
0,2020,2020,Loulé,Faro,Medium,Few Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.275,2020,3,30,2020,10,9,Low Price,High Difference,0,0,0,specify
0,2020,2021,Barreiro,Setúbal,Long,Medium Days,Medium Deadline,Low Price,Low Price,1,0.6,False,0.15000000000000002,2020,3,13,2021,6,18,Low Price,Low Difference,0,0,0,pandemic
0,2018,2021,Santa Maria da Feira,Aveiro,Very Long,Medium Days,Long Deadline,High Price,Medium Price,2,1.0,False,0.35000000000000003,2020,3,20,2021,11,17,Medium Price,High Difference,0,0,0,delay
0,2019,2021,Amadora,Lisboa,Very Long,Medium Days,Short Deadline,Low Price,Low Price,1,0.35000000000000003,False,0.225,2020,3,18,2021,8,30,Low Price,Medium Difference,0,0,1,delay
0,2019,2020,Guimarães,Braga,Very Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.125,2020,1,16,2020,3,13,Low Price,Medium Difference,0,0,0,Not Specified
1,2019,2020,Porto,Porto,Short,Few Days,Short Deadline,Low Price,Low Price,1,0.6,False,0.07500000000000001,2020,3,9,2020,7,9,Low Price,Medium Difference,1,0,0,Not Specified
